,CASENUM,PER_NO,SEX_IM,INJSEV_IM,PERALCH_IM,AGE_IM,VE_FORMS,WEIGHT,REGION,STRATUM,PJ,PSU,PSUSTRAT,MONTH,HOUR,MINUTE,AGE,SEX,INJ_SEV,DRINKING,DRUGS,HOSPITAL,P_SF1,LOCATION,HITRUN_IM,BDYTYP_IM,IMPACT1_IM,PCRASH1_IM,V_ALCH_IM,NUMOCCS,HIT_RUN,BODY_TYP_vehDup,TOW_VEH_vehDup,J_KNIFE,GVWR,V_CONFIG,CARGO_BT,BUS_USE,SPEC_USE_vehDup,EMER_USE_vehDup,TRAV_SP,IMPACT1_vehDup,VEH_SC1,VEH_SC2,VEH_ALCH,SPEEDREL,DR_SF1,DR_SF2,DR_SF3,DR_SF4,VTRAFWAY,VNUM_LAN,VSPD_LIM,VALIGN,VPROFILE,VSURCOND,VTRAFCON,VTCONT_F,P_CRASH1,P_CRASH2,P_CRASH3,PCRASH4,PCRASH5,ACC_TYPE,WKDY_IM,HOUR_IM,MINUTE_IM,RELJCT1_IM,RELJCT2_IM,LGTCON_IM,WEATHR_IM,ALCHL_IM,LAND_USE,VE_TOTAL,PEDS,PERMVIT,PERNOTMVIT,DAY_WEEK,ALCOHOL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,INT_HWY,CF1,CF2,CF3,DRIVER_AGE,DRIVER_SEX,DRIVER_DRUGS,MSAFEQMT1,MSAFEQMT2,MSAFEQMT3,MSAFEQMT4,MSAFEQMT5,MSAFEQMT7,MSAFEQMT8,MSAFEQMT9,IMPACT2_vehDup
0,201210432852,1,1,2,0,46,1,27.146,1,3,3,2,3,1,17,54,46,1,2,0,0,5,0,13,0,4,11,4,2,1,0,4,0,0,0,0,0,0,0,0,998,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,83,1,1,1,13,3,17,54,0,8,2,10,2,1,1,1,1,1,3,2,0,8,1,0,1,2,10,0,10,0,0,0,0,36,2,0,1,0,0,0,0,0,0,0,0
1,201210433930,1,1,3,0,79,1,98.56061,1,6,6,2,3,5,11,12,79,1,3,0,0,5,0,11,0,4,12,1,2,1,0,4,0,0,0,0,0,0,0,0,998,12,0,0,2,0,0,0,0,0,1,2,98,1,1,2,0,0,1,83,1,1,1,13,3,11,12,0,1,1,2,2,3,1,1,1,1,3,2,0,1,1,0,1,1,2,0,2,0,0,0,0,25,2,0,0,0,0,0,0,0,0,1,0
2,201210434409,1,1,4,0,60,1,27.146,1,3,1,2,3,5,12,16,60,1,4,0,0,5,0,11,1,31,8,1,2,1,1,31,1,1,0,0,0,0,0,0,999,8,0,0,2,9,0,0,0,0,1,2,35,1,1,1,0,0,1,83,1,1,1,13,1,12,16,0,1,1,1,2,1,1,1,1,1,1,2,0,1,1,0,1,1,1,0,1,0,16,0,0,67,1,0,0,1,0,0,0,0,0,0,9999
3,201210434454,1,2,2,0,60,1,53.88671,1,3,4,2,3,6,15,0,60,2,2,0,0,5,0,20,0,4,82,4,2,1,0,4,0,0,0,0,0,0,0,0,998,82,0,0,2,0,0,0,0,0,1,2,98,1,2,1,0,0,4,80,6,1,4,13,7,15,0,0,1,1,1,2,8,1,1,1,1,7,2,0,1,1,0,2,1,1,0,1,0,0,0,0,69,1,0,1,0,0,0,0,0,0,0,0
4,201210434686,1,2,2,0,21,1,53.88671,1,3,4,2,3,7,17,51,21,2,2,0,0,0,0,2,0,2,12,1,2,1,0,2,0,0,0,0,0,0,0,0,998,12,0,0,2,0,0,0,0,0,1,2,98,1,2,1,0,0,1,83,1,1,1,13,3,17,51,0,3,1,1,2,8,1,1,1,1,3,2,0,3,3,0,1,1,1,0,1,0,0,0,0,37,2,0,0,1,0,0,0,0,0,0,0
5,201210435078,1,2,2,0,6,1,57.52373100000001,1,3,9,2,3,8,12,0,6,2,2,8,8,5,0,23,0,9,6,13,2,4,0,49,0,0,0,0,0,0,0,0,998,6,0,0,2,0,0,0,0,0,8,8,98,1,1,1,0,0,13,83,1,1,1,92,1,12,0,0,4,1,10,2,1,1,1,4,1,1,9,0,4,1,0,1,1,10,0,10,0,0,0,0,33,1,0,0,0,0,0,0,0,0,1,0
6,201210435187,1,1,2,0,43,1,53.88671,1,3,4,2,3,9,13,25,43,1,2,0,0,0,0,11,0,4,83,10,2,1,0,4,0,0,0,0,0,0,0,0,998,83,0,0,2,0,0,0,0,0,8,8,98,1,1,1,3,3,10,80,1,1,1,13,2,13,25,0,3,1,10,2,8,1,1,1,1,2,2,0,3,2,0,1,1,10,0,10,0,0,0,0,47,1,0,1,0,0,0,0,0,0,0,0
7,201210435582,1,2,2,0,18,1,53.88671,1,3,4,2,3,10,17,16,18,2,2,0,0,5,0,3,0,2,12,1,2,1,0,2,0,0,0,0,0,0,0,0,998,12,0,0,2,0,0,0,0,0,8,8,98,1,2,2,0,0,1,83,1,1,1,13,6,17,16,0,2,1,2,2,8,1,1,1,1,6,2,0,2,2,0,1,1,2,0,2,0,0,0,0,20,2,0,1,0,0,0,0,0,0,0,9999
8,201210435712,1,1,2,0,16,1,106.644961,1,2,16,2,3,7,8,37,16,1,2,8,8,5,0,11,0,78,1,6,2,1,0,78,9,0,9,19,98,0,0,0,998,1,0,0,2,0,0,0,0,0,8,2,98,1,1,1,0,0,6,83,1,1,1,13,2,8,37,0,1,1,1,2,1,1,1,1,1,2,9,0,1,1,0,1,1,1,0,1,0,0,0,0,31,1,0,1,0,0,0,0,0,0,0,0
9,201210713011,1,1,2,0,24,1,14.923428,1,3,4,3,1,1,14,10,24,1,2,0,0,5,0,11,0,6,5,9,2,2,0,6,0,0,0,0,0,0,0,0,998,98,0,0,2,0,0,0,0,0,8,8,98,1,2,1,0,0,9,83,1,1,1,13,2,14,10,0,1,1,1,2,3,1,1,2,1,2,2,0,1,1,0,1,1,1,0,1,0,0,0,0,31,1,0,1,0,0,0,0,0,0,0,0
