,CASENUM,VE_FORMS,VEH_NO,PER_NO,WEIGHT,REGION,STRATUM,PJ,PSU,PSUSTRAT,STR_VEH,MONTH,HOUR,MINUTE,HARM_EV,MAN_COLL,SCH_BUS,MAKE,BODY_TYP,MOD_YEAR,TOW_VEH,SPEC_USE,EMER_USE,ROLLOVER,IMPACT1,IMPACT2,FIRE_EXP,AGE,SEX,PER_TYP,INJ_SEV,SEAT_POS,REST_USE,REST_MIS,AIR_BAG,EJECTION,DRINKING,ALC_STATUS,ATST_TYP,ALC_RES,DRUGS,DSTATUS,DRUGTST1,DRUGTST2,DRUGTST3,DRUGRES1,DRUGRES2,DRUGRES3,HOSPITAL,LOCATION,SEX_IM,INJSEV_IM,EJECT_IM,PERALCH_IM,SEAT_IM,AGE_IM,VEH_NO_vehDup,NUMOCCS,UNITTYPE,HIT_RUN,MAKE_vehDup,MODEL,BODY_TYP_vehDup,MOD_YEAR_vehDup,VIN,TOW_VEH_vehDup,J_KNIFE,MCARR_I1,MCARR_I2,MCARR_ID,GVWR,V_CONFIG,CARGO_BT,HAZ_INV,HAZ_PLAC,HAZ_ID,HAZ_CNO,HAZ_REL,BUS_USE,SPEC_USE_vehDup,EMER_USE_vehDup,TRAV_SP,ROLLOVER_vehDup,ROLINLOC,IMPACT1_vehDup,IMPACT2_vehDup,DEFORMED,TOWED,M_HARM,VEH_ALCH,MAX_VSEV,NUM_INJV,FIRE_EXP_vehDup,DR_PRES,DR_ZIP,SPEEDREL,VTRAFWAY,VNUM_LAN,VSPD_LIM,VALIGN,VPROFILE,VSURCOND,VTRAFCON,VTCONT_F,P_CRASH1,P_CRASH2,P_CRASH3,PCRASH4,PCRASH5,ACC_TYPE,HITRUN_IM,BDYTYP_IM,MDLYR_IM,IMPACT1_IM,PCRASH1_IM,VEVENT_IM,MXVSEV_IM,NUMINJ_IM,V_ALCH_IM,LAND_USE,VE_TOTAL,PVH_INVL,PEDS,PERMVIT,PERNOTMVIT,NUM_INJ,YEAR,DAY_WEEK,ALCOHOL,MAX_SEV,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,INT_HWY,WKDY_IM,HOUR_IM,MINUTE_IM,MANCOL_IM,RELJCT1_IM,RELJCT2_IM,LGTCON_IM,WEATHR_IM,EVENT1_IM,MAXSEV_IM,NO_INJ_IM,ALCHL_IM,DRIVER_AGE,DRIVER_SEX,DRIVER_DRUGS
0,201110430891,1,0,1,57.523731000000005,1,3,9,2,3,1,6,10,32,9,0,0,,,,,,,,,,,11,1,6,2,0,96,8,97,8,8,0,0,96,8,0,0,0,0,0,0,0,0,11,1,2,8,0,0,11,1,1,1,0,24,999,49,2003,888888888888,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,998,0,0,12,12,8,1,9,2,0,0,0,1,12561,0,0,0,0,0,0,0,0,0,4,83,1,1,1,13,0,14,2003,12,4,9,0,0,2,1,1,0,1,1,1,1,2011,1,9,2,0,8,1,0,1,1,10,0,10,0,1,10,32,0,0,8,1,10,9,2,1,2,45,1,0
1,201110430953,1,0,1,89.85325999999999,1,3,10,2,3,1,7,16,7,9,0,0,,,,,,,,,,,15,1,6,2,0,96,8,97,8,0,0,0,96,0,0,0,0,0,0,0,0,0,2,1,2,8,0,0,15,1,2,1,0,49,399,4,2001,999999999999,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,998,0,0,1,1,0,1,9,2,0,0,0,1,12459,0,1,2,98,1,1,1,3,8,10,83,1,1,1,13,0,4,2001,1,10,9,0,0,2,1,1,0,1,2,1,1,2011,5,2,2,0,3,2,0,1,1,10,0,10,0,5,16,7,0,0,3,1,10,9,2,1,2,87,1,0
2,201110430970,1,0,1,27.146,1,3,3,2,3,1,7,14,58,9,0,0,,,,,,,,,,,14,2,6,3,0,96,8,97,8,0,0,0,96,0,0,0,0,0,0,0,0,5,3,2,3,8,0,0,14,1,2,1,0,23,499,39,2003,999999999999,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,998,0,0,62,62,8,1,9,2,0,0,0,1,12401,0,8,2,98,1,1,1,20,3,1,83,1,1,1,13,0,39,2003,62,1,9,0,0,2,1,1,0,1,2,1,1,2011,1,2,3,0,2,2,0,1,1,1,0,1,0,1,14,58,0,0,2,1,1,9,3,1,2,68,1,0
3,201110431870,1,0,1,53.88671,1,3,4,2,3,1,10,10,35,9,0,0,,,,,,,,,,,34,1,6,2,0,96,8,97,8,8,0,0,96,8,0,0,0,0,0,0,0,5,23,1,2,8,0,0,34,1,2,1,0,23,999,49,2008,999999999999,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,998,0,0,9,9,8,1,9,2,0,0,0,1,12561,0,8,8,98,1,2,1,0,0,10,83,1,1,1,13,0,15,2008,9,10,9,0,0,2,8,1,0,1,2,1,1,2011,3,9,2,0,8,1,0,1,1,1,0,1,0,3,10,35,0,0,8,1,1,9,2,1,2,47,1,0
4,201110432430,1,0,1,27.146,1,3,2,2,3,1,12,14,34,9,0,0,,,,,,,,,,,16,1,6,2,0,96,8,97,8,8,0,0,96,8,0,0,0,0,0,0,0,0,3,1,2,8,0,0,16,1,1,1,0,13,999,49,2011,999999999999,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,998,0,0,3,3,0,1,9,2,0,0,0,1,12473,0,1,2,98,1,1,1,3,8,1,83,1,1,1,13,0,14,2011,3,1,9,0,0,2,1,1,0,1,1,1,1,2011,5,9,2,0,2,2,0,1,1,1,0,1,0,5,14,34,0,0,2,1,1,9,2,1,2,64,2,0
5,201110700561,1,0,1,7.810128,1,2,16,3,1,1,1,19,1,9,0,0,,,,,,,,,,,26,1,6,3,0,96,8,97,8,0,0,0,96,0,0,0,0,0,0,0,0,4,3,1,3,8,0,0,26,1,1,1,0,82,898,61,2006,4UZAANBWX6CX,0,0,77,777777777,77777777777,2,1,1,1,0,0,0,0,0,0,0,998,0,0,12,12,8,1,9,2,1,1,0,1,10304,0,1,2,98,1,8,98,97,8,11,83,1,1,1,13,0,61,2006,12,11,9,1,1,2,3,1,0,1,1,1,2,2011,2,2,3,0,2,2,0,1,6,98,0,98,0,2,19,1,0,0,2,6,1,9,3,2,2,62,1,0
6,201110701696,1,0,1,15.620256,1,3,16,3,1,1,2,11,5,9,0,0,,,,,,,,,,,23,1,6,2,0,96,8,97,8,0,0,0,96,0,0,0,0,0,0,0,0,3,11,1,2,8,0,0,23,1,3,1,0,13,5,4,1999,1LNHM81W2XY7,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,998,0,0,82,82,8,1,9,2,1,3,0,1,11235,0,2,4,98,1,1,1,0,0,1,83,1,1,1,13,0,4,1999,82,1,9,1,3,2,3,1,0,1,3,1,4,2011,7,2,2,0,1,1,0,1,1,10,0,10,0,7,11,5,0,0,1,1,10,9,2,4,2,48,1,0
7,201110702621,1,0,1,15.236148000000002,1,3,3,3,1,1,3,14,20,9,0,0,,,,,,,,,,,39,1,6,2,0,96,8,97,8,0,0,0,96,8,0,0,0,0,0,0,0,4,1,1,2,8,0,0,39,1,1,1,0,12,461,21,2011,1FTNE2EW9BDA,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,998,0,0,12,12,0,1,9,2,0,0,0,1,10306,0,8,8,98,1,1,1,98,8,1,83,99,1,1,13,0,21,2011,12,1,9,0,0,2,3,1,0,1,1,1,1,2011,2,2,2,0,2,8,0,1,1,1,0,1,0,2,14,20,0,0,2,1,1,9,2,1,2,25,1,0
8,201110702850,1,0,1,14.349848999999999,1,3,10,3,1,1,3,22,10,9,0,0,,,,,,,,,,,25,1,6,3,0,96,8,97,8,0,0,0,96,0,0,0,0,0,0,0,0,4,3,1,3,8,0,0,25,1,1,1,0,35,443,20,2000,4N2XN11T4YD8,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,998,0,0,12,12,8,1,9,9,0,0,0,1,10466,0,8,8,98,1,1,1,3,8,11,84,99,1,1,13,0,20,2000,12,11,9,0,0,2,3,1,0,1,1,1,1,2011,4,9,3,0,3,1,0,1,3,1,0,1,0,4,22,10,0,0,3,3,1,9,3,1,2,46,1,9999
9,201110703012,1,0,1,15.620256,1,3,16,3,1,1,3,22,23,9,0,0,,,,,,,,,,,28,1,6,2,0,96,8,97,8,0,0,0,96,0,0,0,0,0,0,0,0,4,3,1,2,8,0,0,28,1,1,1,0,2,404,14,2003,1J4GW48563C5,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,998,0,0,12,12,8,1,9,2,0,0,0,1,11429,0,8,8,98,1,1,1,3,8,1,17,99,1,2,13,0,14,2003,12,1,9,0,0,2,3,1,0,1,1,1,1,2011,2,2,2,0,2,2,0,1,3,1,0,1,0,2,22,23,0,0,2,3,1,9,2,1,2,40,1,0
